HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_HTH_RECORD,AWAY_TEAM_HTH_RECORD,HOME_TEAM_FORM_0,AWAY_TEAM_FORM_0,HOME_TEAM_FORM_1,AWAY_TEAM_FORM_1,HOME_TEAM_FORM_2,AWAY_TEAM_FORM_2,HOME_TEAM_WIN_RECORD,AWAY_TEAM_WIN_RECORD,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.889,0.875,0.75,0.571,1,1,1,1,1,1,1,1,13,8,114,100,101,98,1
0.333,0.222,0.667,0.455,1,1,0,0,1,0,0,0,2,7,99,105,101,98,0
0.571,0.444,0.4,0.5,2,2,1,1,1,0,1,0,6,5,95,102,101,108,1
0.143,0.667,0.667,0.444,2,0,0,1,1,0,0,0,5,6,102,103,97,97,0
0.286,0.111,0.857,0.625,0,4,0,1,0,1,0,1,1,9,100,109,102,91,1
0.667,0.429,0.444,0.571,2,0,1,1,0,1,0,0,7,6,110,105,98,98,0
0.429,0.3,0.667,0.333,2,1,0,0,0,1,0,0,4,6,100,103,106,106,1
0.875,0.5,0.6,0.625,0,3,1,1,0,0,0,0,9,9,103,96,101,99,1
0.667,0.5,0.571,0.5,2,2,1,1,1,1,0,0,7,5,97,96,104,106,0
0.4,0.429,0.444,0.625,2,0,0,1,1,1,0,1,5,7,100,107,98,97,0
0.625,0.5,0.5,0.375,4,0,1,0,0,0,1,1,7,5,97,95,96,103,1
0.7,0.4,0.111,0.125,1,2,1,0,0,0,1,0,7,0,97,93,90,104,1
0.625,0.375,0.455,0.167,0,2,1,0,0,0,1,1,6,4,101,101,103,108,0
0.857,0.556,0.625,0.444,4,0,0,1,1,1,1,1,9,7,101,92,95,100,1
0.333,0.182,0.5,0.667,3,1,0,1,0,0,1,1,2,7,95,104,103,96,1
0.5,0.444,0.9,0.875,2,2,0,1,0,1,1,1,6,14,100,103,114,99,0
0.667,0.286,0.667,0.5,2,0,0,1,0,0,1,0,6,8,104,105,101,97,0
0.286,0.222,0.5,0.3,1,2,0,1,0,0,1,0,2,5,98,105,100,102,0
0.375,0.111,0.6,0.5,0,4,1,1,0,0,0,1,2,7,100,108,105,101,1
0.6,0.429,0.625,0.667,1,2,0,1,1,1,0,1,7,9,109,104,101,99,1
0.75,0.333,0.455,0.286,2,0,1,1,1,0,0,0,7,5,102,99,103,106,1
0.889,0.5,0.556,0.375,4,0,1,0,1,1,0,0,10,6,103,96,100,100,1
0.727,0.4,0.444,0.667,3,1,1,1,1,1,0,1,8,8,97,92,99,97,1
0.5,0.333,0.571,0.5,1,3,0,0,0,1,0,1,5,7,96,105,97,96,1
0.125,0.667,0.111,0.111,2,0,0,0,0,0,1,0,5,0,101,102,90,104,1
0.875,0.556,0.6,0.429,3,1,1,0,0,1,1,0,10,7,100,91,106,102,1
0.6,0.455,0.636,0.429,1,3,0,1,1,0,1,1,6,8,95,92,109,105,0
0.6,0.556,0.5,0.571,2,2,0,0,1,1,0,0,9,7,101,100,103,97,1
0.444,0.444,0.6,0.286,2,2,0,0,0,0,0,0,6,6,100,104,103,104,0
0.9,0.889,0.25,0.222,3,1,1,0,1,0,1,0,15,2,114,100,98,105,1
0.625,0.4,0.625,0.6,1,3,0,0,1,1,1,1,7,9,94,100,102,100,1
0.5,0.364,0.75,0.5,2,0,1,0,1,1,0,1,6,8,101,101,100,99,0
0.571,0.571,0.667,0.5,1,2,1,1,1,1,1,0,6,8,103,105,99,94,0
0.5,0.5,0.111,0.1,1,3,0,0,0,0,1,0,7,0,103,99,90,103,1
0.778,0.333,0.5,0.571,3,1,1,0,1,1,1,1,8,6,104,101,103,106,1
0.571,0.455,0.75,0.4,1,3,0,1,0,1,1,1,7,9,96,97,97,91,1
0.364,0.429,0.667,0.4,2,2,0,1,0,0,1,1,5,8,100,107,95,99,0
