HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
7,1,8,5,7,2,7,7,3,2,1704.9094100504801,1544.6738109252697,1
4,6,6,5,6,6,3,3,1,3,1452.28865974608,1572.1328888238002,1
1,9,3,4,7,2,5,5,1,1,1370.08922487434,1507.51092902148,0
6,2,6,5,3,6,4,5,2,1,1615.04488169849,1498.45167298475,1
7,2,7,8,3,7,2,2,1,2,1549.7456840658801,1362.42465413095,0
9,0,2,1,5,4,3,3,3,0,1604.99315984603,1478.2825058240699,1
7,3,3,3,4,4,4,3,2,2,1523.4705642601502,1452.4165000903602,1
4,5,1,2,6,4,3,4,1,1,1403.68806721802,1436.69100512621,1
1,9,1,2,5,5,5,5,0,2,1403.8637773560401,1506.80997374884,0
7,4,7,1,9,2,7,1,2,3,1554.0693388415302,1598.03769716137,0
7,2,6,5,2,6,4,5,2,1,1568.57334177172,1326.60342419915,1
7,3,6,6,7,3,1,2,1,1,1653.53641356707,1480.7024737910501,0
5,2,6,7,4,4,7,7,0,2,1429.44971328633,1640.3305108824,0
5,2,8,8,3,6,4,5,2,1,1582.30647393156,1460.38985024763,0
8,4,2,2,2,7,6,4,1,2,1365.7040232637598,1488.5756825891299,1
5,4,3,4,6,6,3,4,0,2,1471.66224467264,1540.66761628913,0
6,2,4,5,7,4,6,6,1,0,1465.22248451323,1623.43133992213,1
8,1,8,5,3,7,4,4,3,1,1706.44469681001,1278.2793171753199,1
1,10,3,4,4,4,8,7,1,2,1338.06701699164,1643.5009205325598,0
7,2,6,5,3,9,2,3,3,0,1634.65285612941,1337.17931698151,1
3,7,3,2,5,6,6,5,2,2,1385.8723064831197,1487.52983125168,0
5,5,6,5,10,0,2,1,3,3,1504.1666684761701,1604.8013603347501,1
7,3,7,8,5,5,1,2,0,2,1621.34871245192,1411.9016308268301,1
1,10,1,2,7,5,7,1,0,1,1408.17239746024,1526.0279462526,0
7,3,2,2,2,6,4,5,1,0,1481.9649995248699,1329.94064991177,1
5,3,6,7,3,6,5,5,0,1,1430.3905365146802,1489.86391566996,0
5,3,8,8,3,9,2,3,1,0,1544.86085617922,1332.03099252405,1
3,7,4,5,8,3,3,3,0,2,1248.2638171903,1529.96161368913,1
6,4,3,4,6,6,4,4,1,2,1429.77117856318,1515.8509341320498,0
5,5,3,4,9,4,2,2,0,2,1416.3878339876599,1340.78869335102,1
9,2,8,1,4,4,4,5,3,1,1542.8424316795301,1444.33595328114,0
7,2,4,5,1,11,3,4,2,1,1464.8216068215,1349.19502302946,1
8,2,6,5,8,2,6,5,2,3,1591.30466910457,1610.1780101133402,1
2,7,6,7,2,6,4,5,2,0,1491.6222286193,1324.49093567688,1
7,4,6,7,1,11,1,2,0,0,1626.6463355095498,1407.9500726693,1
8,3,7,8,5,6,7,5,1,2,1613.7910167484301,1391.0190950056501,1
3,8,3,2,5,5,1,2,2,1,1384.50025850047,1394.63616998996,0
7,5,8,1,6,3,8,8,1,2,1501.10298236504,1437.07122837682,0
4,4,9,7,10,0,2,3,3,2,1630.9098498265198,1599.9514213952698,1
9,2,6,5,3,9,2,3,3,0,1585.3619120887197,1307.2523057672502,0
8,3,2,2,9,1,8,5,2,3,1461.6056337608402,1702.48286548806,0
6,5,3,4,9,4,2,3,0,2,1368.30737823227,1404.19791065049,1
4,7,4,5,5,6,7,8,1,2,1256.1530431258197,1490.9972127494,0
6,5,3,4,8,3,3,4,1,2,1373.13500496363,1530.2007396914498,1
5,5,2,2,6,5,6,5,2,3,1397.85206704202,1463.6407091038,0
8,2,4,5,4,4,5,5,3,1,1464.6262305315602,1453.40483852811,1
3,7,6,7,3,6,6,5,2,2,1488.6630979591198,1448.6907861097,1
6,6,5,4,2,6,4,5,2,0,1576.92110984944,1325.3358233257002,1
5,4,9,7,6,3,9,8,3,2,1630.6708795481302,1548.8254347489801,0
5,4,6,7,9,1,9,5,0,3,1390.28850070852,1691.93806127855,0
8,2,6,7,1,11,3,4,2,0,1613.01333971824,1306.82075475517,1
3,9,3,2,3,9,3,3,1,1,1390.53021790687,1318.88425123906,0
10,0,2,3,9,3,7,8,1,2,1574.80975797742,1597.8366820287197,1
1,11,1,2,8,4,2,2,0,2,1512.44143328993,1486.00074633391,1
7,6,8,1,8,4,6,7,1,1,1483.3159664234302,1706.91571422893,1
9,3,7,8,4,4,5,6,2,1,1611.7788508034803,1435.82184040538,0
2,6,4,5,9,3,8,1,0,2,1317.09156391578,1485.76521409194,0
6,5,7,5,8,3,3,4,3,1,1477.0878431902,1505.2459956859802,0
3,6,6,7,7,5,3,4,2,1,1465.2056446088502,1294.05943287577,1
9,4,2,3,8,4,6,7,1,1,1408.7594691612899,1667.4785773552499,0
5,5,9,7,9,3,6,5,2,2,1632.1520779065802,1601.49146101456,0
5,6,8,8,5,6,2,2,2,1,1544.6025135914902,1406.1979561085,1
7,6,5,4,4,8,4,5,3,1,1571.7314936450598,1273.54273930307,1
1,11,3,4,9,1,10,5,0,3,1263.1275818945,1670.62542589435,0
3,9,4,3,3,10,3,2,2,0,1302.3066170833301,1409.5259777885599,0
9,3,9,1,8,4,2,3,2,1,1485.86905068944,1479.43592330739,0
7,5,3,4,8,6,8,1,2,2,1368.50344415912,1471.0182511052499,0
9,2,4,5,2,11,1,2,3,1,1450.49516675436,1514.9747530335999,1
4,7,6,7,5,5,6,7,2,0,1491.06888629759,1438.85492931009,0
6,3,10,8,4,8,4,5,3,1,1655.1589713580402,1303.57818773322,1
2,7,4,5,6,6,7,5,0,2,1307.4722237532199,1483.81250478413,0
4,6,6,7,7,6,3,4,2,2,1464.96632264051,1368.21295705703,1
11,0,2,3,8,6,9,1,1,2,1673.6668369471697,1515.6550249675302,1
7,5,3,4,9,4,7,8,1,1,1301.2414019466,1629.7397065558403,1
9,5,2,3,9,3,7,5,0,2,1402.44704799671,1614.05614320163,0
6,6,8,8,8,6,5,4,2,3,1474.80655542042,1571.18154548542,0
5,6,9,7,5,6,2,3,1,1,1617.94803339934,1408.62717494832,1
4,4,6,6,9,1,11,5,2,3,1412.4556310340197,1732.6263534604002,1
5,5,7,7,1,12,3,4,1,0,1439.48329838504,1248.5339904444802,1
9,2,6,7,4,8,4,5,2,0,1622.0118000609698,1295.21069740489,1
8,3,4,4,8,4,3,3,1,1,1518.8682757035901,1478.8989552295002,1
3,10,4,3,2,11,1,2,2,1,1345.83099663881,1513.20663261396,0
4,8,6,7,10,2,4,5,2,3,1498.63344733155,1446.5473757878399,0
7,3,10,8,3,10,4,2,3,1,1685.45156628814,1408.01725030792,1
10,2,6,7,10,2,5,5,2,3,1576.02066131087,1433.1612437021201,0
7,6,3,4,9,4,9,1,1,1,1369.01592234876,1571.30909097809,0
5,6,6,7,8,6,6,4,2,3,1445.93655829029,1569.5091808081602,0
9,6,2,3,6,6,8,5,0,2,1354.0525532080098,1498.7292691169698,1
3,11,4,3,8,6,9,10,1,2,1343.33149127166,1541.08562388989,0
8,5,3,4,9,3,8,5,2,2,1338.6311191915402,1643.99486372805,1
5,6,2,3,9,4,7,8,0,0,1406.5462742716102,1600.8488377914498,0
6,6,9,7,2,8,4,5,1,0,1604.8555021203301,1307.49948270404,0
9,1,11,12,5,4,6,6,2,2,1701.3428105613598,1397.18912492384,1
1,12,3,4,3,10,4,5,0,1,1293.04779468841,1403.27000183983,0
6,5,7,7,6,7,8,8,2,2,1460.82690463475,1548.1789490983099,0
9,4,8,8,10,6,2,3,1,1,1600.97849157746,1385.7377537836499,1
5,7,6,7,9,3,4,4,2,2,1391.77550097785,1525.80805891224,1
9,5,3,4,8,4,3,4,2,1,1376.0576674804402,1481.08441349175,0
8,4,7,7,12,0,2,3,2,2,1693.9698372958499,1676.13716507854,1
4,9,6,7,4,8,4,5,1,0,1494.83570151632,1302.67120639461,1
8,3,10,8,6,7,9,8,3,2,1689.97898195433,1543.2315655561301,1
3,12,4,3,2,8,5,5,0,1,1373.80205067045,1326.1162508631699,0
6,6,8,9,9,3,8,9,1,2,1489.82494057577,1614.11838682421,0
9,3,4,5,9,4,10,1,2,2,1521.02209365827,1572.55403930787,1
5,7,2,3,8,6,7,4,0,3,1402.09599924219,1567.19571384405,0
2,11,2,2,1,13,3,4,2,0,1453.49773688305,1311.54333732953,1
6,7,9,7,7,7,3,4,1,0,1622.98838733015,1359.20320263527,1
5,4,6,7,8,6,10,10,2,2,1401.99044028091,1524.47553484512,0
6,6,7,7,10,2,6,5,2,3,1491.87378430972,1434.14112042108,1
10,3,6,7,3,10,5,5,2,2,1673.77950187228,1434.46899034314,1
9,6,3,4,6,7,6,7,2,2,1358.84922418469,1521.9517298868,0
4,8,4,5,8,4,4,4,0,2,1298.70391495499,1498.5154275366401,1
10,1,11,12,3,11,2,2,2,2,1737.00492419257,1350.63513554972,1
9,3,10,8,5,9,6,7,3,1,1667.6987477216599,1498.89975182426,1
