HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
8,2,4,5,6,2,5,4,0,2,1730.24674578388,1641.6754753451198,0
4,4,5,3,4,3,4,4,3,2,1637.9167486727,1468.9363476333099,1
9,1,4,3,7,2,5,4,3,2,1613.93569986988,1532.70107597093,1
7,3,0,8,7,3,4,4,1,1,1552.98651810249,1600.39436132238,0
10,0,3,7,8,1,2,7,3,2,1608.356514415,1563.10752147862,1
6,3,2,6,7,1,5,4,1,3,1470.46612237952,1465.7632841728698,0
2,5,6,5,5,3,5,5,1,2,1598.94714454337,1343.5204594004902,0
2,7,1,9,5,3,5,6,0,1,1320.158581596,1608.4231808272698,0
3,5,5,7,7,3,1,8,1,1,1459.23585247546,1551.1698739553601,0
3,8,2,6,3,7,4,4,1,1,1341.60829107673,1492.82891527817,0
8,3,4,4,6,6,3,4,2,1,1600.53209490771,1419.54578771483,1
5,3,4,4,4,4,5,4,2,2,1468.2590389775303,1634.9757128953102,1
9,2,4,5,7,2,5,5,1,1,1728.0463559274099,1528.44321332884,1
6,4,5,4,6,3,3,6,1,1,1543.35819188483,1470.1295694768899,0
8,1,4,5,7,1,5,5,2,2,1475.53733529185,1466.14018014293,1
6,3,5,4,2,5,6,6,3,0,1556.42674682395,1595.95745734047,1
9,2,4,3,3,6,1,8,2,1,1621.39991595635,1349.20544321635,0
3,6,3,8,8,1,2,8,2,1,1314.73572195611,1562.4393449134,1
7,2,5,4,6,3,3,6,2,2,1645.39051886328,1498.55357822086,1
10,1,3,7,2,6,1,8,2,1,1608.59874899382,1347.349560843,0
8,2,8,2,4,5,2,7,3,1,1655.68976174738,1533.3069729463198,1
3,6,1,8,4,4,5,5,2,1,1349.04186678305,1632.1305048984698,1
8,2,1,7,5,3,5,7,2,1,1421.5178791824499,1608.87217332375,1
10,2,4,5,5,3,5,6,2,2,1732.15980183966,1345.6576081396302,1
10,2,4,3,6,3,3,7,2,1,1619.4353602932501,1471.95905743927,1
8,3,1,8,3,8,2,7,2,1,1550.22777771793,1342.0689618704303,1
7,3,5,4,8,3,5,4,2,3,1646.7300930473998,1603.83552302604,0
5,5,2,7,8,1,2,9,2,0,1531.4665800014402,1562.13450509669,1
3,7,1,9,6,3,3,7,1,1,1317.67408581935,1498.68575247396,1
3,6,5,7,10,1,4,7,0,2,1457.98911705918,1603.5053200760099,0
6,3,4,4,3,6,1,9,2,1,1467.78055595319,1352.1680158927302,1
6,4,5,4,6,6,4,4,2,1,1556.62017617954,1415.99760019889,0
7,2,5,5,3,6,4,8,1,3,1468.66406772707,1314.45726396241,0
7,3,5,5,8,1,5,5,0,2,1524.0222476430401,1476.87147108613,0
5,4,5,6,2,5,7,6,1,1,1347.71117567533,1595.97850730073,0
9,2,8,2,3,7,4,5,3,1,1656.51856314008,1491.8393831274302,1
3,9,2,7,6,3,4,7,0,2,1344.01925535249,1471.72700903064,0
7,3,3,7,10,2,4,4,1,1,1499.04910489126,1618.7592174563902,1
3,7,1,8,8,3,2,8,2,3,1356.08911267658,1554.39324415707,0
